"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2022","95.49","94.65","95.88","93.94","","1.13%"
"10/06/2022","94.42","93.71","94.98","92.72","207.53K","1.12%"
"10/05/2022","93.37","91.89","93.96","90.76","296.20K","1.71%"
"10/04/2022","91.80","88.81","92.40","88.78","282.38K","3.31%"
"10/03/2022","88.86","86.35","89.82","86.35","270.69K","1.02%"
"09/30/2022","87.96","88.53","89.80","87.69","5.89K","-0.60%"
"09/29/2022","88.49","88.97","90.12","87.33","57.86K","-0.93%"
"09/28/2022","89.32","86.14","89.47","84.26","74.33K","5.24%"
"09/27/2022","84.87","82.84","85.84","82.81","252.52K","2.43%"
"09/26/2022","82.86","85.54","86.45","82.44","257.04K","-2.55%"
"09/23/2022","85.03","89.57","89.88","84.55","304.20K","-5.03%"
"09/22/2022","89.53","88.83","91.74","88.28","219.29K","0.82%"
"09/21/2022","88.80","89.57","92.23","88.31","247.64K","-0.67%"
"09/20/2022","89.40","90.85","91.57","88.56","209.16K","-2.83%"
"09/19/2022","92.00","91.43","92.57","88.50","138.53K","0.71%"
"09/16/2022","91.35","90.51","92.66","90.25","197.48K","0.56%"
"09/15/2022","90.84","94.65","94.66","90.03","257.62K","-3.46%"
"09/14/2022","94.10","93.40","95.80","91.93","259.90K","1.00%"
"09/13/2022","93.17","94.31","95.53","91.05","275.17K","-0.88%"
"09/12/2022","94.00","92.54","95.17","91.21","210.43K","1.25%"
"09/09/2022","92.84","88.62","93.12","88.60","202.94K","4.76%"
"09/08/2022","88.62","87.98","89.82","87.25","","0.70%"
"09/07/2022","88.00","92.81","93.80","87.40","300.20K","-5.20%"
"09/06/2022","92.83","95.19","95.94","92.30","225.95K","-3.04%"
"09/05/2022","95.74","93.02","96.99","93.02","144.26K","2.92%"
"09/02/2022","93.02","92.66","95.32","92.65","210.00K","0.71%"
"09/01/2022","92.36","95.18","95.68","91.81","297.55K","-4.28%"
"08/31/2022","96.49","99.79","100.46","95.44","10.07K","-1.38%"
"08/30/2022","97.84","102.88","103.48","96.63","356.10K","-4.95%"
"08/29/2022","102.93","98.96","103.22","98.25","211.63K","3.96%"
"08/26/2022","99.01","98.95","100.10","96.96","277.48K","0.56%"
"08/25/2022","98.46","100.79","101.53","98.23","223.98K","-1.87%"
"08/24/2022","100.34","99.30","100.89","98.27","233.92K","1.18%"
"08/23/2022","99.17","96.00","99.41","95.81","198.99K","3.51%"
"08/22/2022","95.81","95.36","96.66","92.00","186.81K","-0.94%"
"08/19/2022","96.72","96.68","97.88","94.25","178.60K","0.13%"
"08/18/2022","96.59","93.29","97.42","93.05","208.55K","3.14%"
"08/17/2022","93.65","92.67","94.48","91.51","199.19K","1.42%"
"08/16/2022","92.34","94.01","95.95","91.71","217.75K","-2.90%"
"08/15/2022","95.10","97.72","98.17","92.78","217.57K","-3.11%"
"08/12/2022","98.15","99.33","100.38","96.94","188.13K","-1.46%"
"08/11/2022","99.60","97.04","100.17","96.63","219.42K","2.26%"
"08/10/2022","97.40","96.34","97.97","93.63","247.74K","1.13%"
"08/09/2022","96.31","96.36","98.40","94.90","219.67K","-0.35%"
"08/08/2022","96.65","94.51","96.82","93.01","201.25K","1.82%"
"08/05/2022","94.92","93.65","96.40","92.78","216.20K","0.85%"
"08/04/2022","94.12","97.10","97.66","93.20","264.81K","-2.75%"
"08/03/2022","96.78","99.73","102.41","96.50","293.11K","-3.74%"
"08/02/2022","100.54","99.87","102.41","98.49","229.68K","0.51%"
"08/01/2022","100.03","103.92","104.43","99.09","272.84K","-9.07%"
"07/29/2022","110.01","108.00","110.67","106.90","9.13K","2.68%"
"07/28/2022","107.14","107.31","109.06","106.00","80.84K","0.49%"
"07/27/2022","106.62","104.75","107.86","103.73","77.69K","2.13%"
"07/26/2022","104.40","104.73","107.34","103.99","110.00K","-0.71%"
"07/25/2022","105.15","103.85","105.38","101.64","123.67K","1.89%"
"07/22/2022","103.20","103.86","105.72","101.90","137.24K","-0.64%"
"07/21/2022","103.86","106.49","106.78","101.50","228.70K","-2.86%"
"07/20/2022","106.92","107.07","107.45","105.08","186.70K","-0.40%"
"07/19/2022","107.35","105.74","107.61","103.60","226.40K","1.02%"
"07/18/2022","106.27","100.82","106.48","99.46","213.50K","5.05%"
"07/15/2022","101.16","99.91","102.64","98.17","218.09K","2.08%"
"07/14/2022","99.10","99.43","100.39","94.50","318.79K","-0.47%"
"07/13/2022","99.57","98.50","101.21","98.28","247.47K","0.08%"
"07/12/2022","99.49","106.25","106.56","98.90","275.62K","-7.11%"
"07/11/2022","107.10","107.00","107.70","103.64","194.66K","0.07%"
"07/08/2022","107.02","104.65","107.47","103.67","238.35K","2.26%"
"07/07/2022","104.65","100.14","106.35","98.50","279.66K","3.93%"
"07/06/2022","100.69","104.88","105.85","98.50","350.30K","-2.02%"
"07/05/2022","102.77","113.54","114.75","101.10","428.84K","-9.45%"
"07/04/2022","113.50","111.65","114.00","110.40","100.59K","1.68%"
"07/01/2022","111.63","109.49","112.45","108.03","235.42K","-2.77%"
"06/30/2022","114.81","116.01","116.67","114.22","7.11K","-1.25%"
"06/29/2022","116.26","117.96","120.41","115.20","54.34K","-1.46%"
"06/28/2022","117.98","115.74","118.27","115.72","65.76K","2.51%"
"06/27/2022","115.09","112.92","116.08","111.26","118.10K","1.74%"
"06/24/2022","113.12","110.04","114.00","109.24","134.18K","2.79%"
"06/23/2022","110.05","109.58","112.70","108.04","195.92K","-1.51%"
"06/22/2022","111.74","114.40","114.45","107.03","293.05K","-2.54%"
"06/21/2022","114.65","114.21","116.25","114.02","204.03K","0.46%"
"06/20/2022","114.13","113.88","114.50","111.52","161.60K","0.89%"
"06/17/2022","113.12","119.13","121.25","111.72","319.91K","-5.58%"
"06/16/2022","119.81","119.65","120.29","115.56","276.68K","1.10%"
"06/15/2022","118.51","120.79","121.88","117.75","231.06K","-2.20%"
"06/14/2022","121.17","121.88","125.19","118.91","291.26K","-0.90%"
"06/13/2022","122.27","121.94","123.70","118.93","257.11K","0.21%"
"06/10/2022","122.01","122.89","124.33","119.81","294.28K","-0.86%"
"06/09/2022","123.07","123.60","124.34","122.50","218.98K","-0.41%"
"06/08/2022","123.58","120.65","124.40","120.45","256.29K","2.50%"
"06/07/2022","120.57","119.94","121.37","118.55","276.72K","0.89%"
"06/06/2022","119.51","121.55","121.95","118.77","204.09K","-0.18%"
"06/03/2022","119.72","118.22","121.45","116.02","141.66K","1.79%"
"06/02/2022","117.61","115.02","118.46","112.45","216.90K","1.14%"
"06/01/2022","116.29","116.08","118.57","115.40","242.16K","-5.33%"
"05/31/2022","122.84","122.20","125.28","121.60","11.56K","0.96%"
"05/30/2022","121.67","119.28","122.01","118.98","42.41K","1.88%"
"05/27/2022","119.43","117.52","119.72","116.63","81.16K","1.73%"
"05/26/2022","117.40","114.35","118.00","113.85","123.58K","2.96%"
"05/25/2022","114.03","114.12","115.30","113.01","152.33K","0.41%"
"05/24/2022","113.56","112.79","114.63","111.70","191.73K","0.12%"
"05/23/2022","113.42","112.85","114.34","111.86","196.51K","0.77%"
"05/20/2022","112.55","111.45","113.23","110.52","180.89K","0.46%"
"05/19/2022","112.04","108.22","112.31","105.70","272.35K","2.69%"
"05/18/2022","109.11","112.91","114.15","108.35","245.04K","-2.52%"
"05/17/2022","111.93","114.42","115.69","111.09","277.89K","-2.02%"
"05/16/2022","114.24","111.67","114.79","108.84","218.44K","2.41%"
"05/13/2022","111.55","108.25","111.69","107.79","220.32K","3.82%"
"05/12/2022","107.45","107.67","108.71","104.69","264.26K","-0.06%"
"05/11/2022","107.51","101.51","108.29","101.30","287.53K","4.93%"
"05/10/2022","102.46","105.50","106.96","101.54","327.99K","-3.28%"
"05/09/2022","105.94","112.94","113.20","105.00","302.17K","-5.74%"
"05/06/2022","112.39","111.27","113.50","109.87","249.83K","1.34%"
"05/05/2022","110.90","110.55","114.00","109.20","279.88K","0.69%"
"05/04/2022","110.14","105.91","111.00","105.46","241.68K","4.93%"
"05/03/2022","104.97","107.61","108.32","104.62","184.20K","-2.43%"
"05/02/2022","107.58","106.30","108.46","103.10","151.34K","-1.61%"
"04/29/2022","109.34","107.55","110.30","107.00","12.02K","1.63%"
"04/28/2022","107.59","104.96","108.00","103.29","73.32K","2.16%"
"04/27/2022","105.32","105.45","106.33","103.27","67.06K","0.31%"
"04/26/2022","104.99","102.53","106.20","101.08","138.20K","2.61%"
"04/25/2022","102.32","105.49","105.85","99.48","156.35K","-4.06%"
"04/22/2022","106.65","108.26","108.76","105.54","125.87K","-1.55%"
"04/21/2022","108.33","107.07","109.80","106.76","185.38K","1.43%"
"04/20/2022","106.80","108.10","109.00","104.65","243.67K","-0.42%"
"04/19/2022","107.25","112.85","114.21","106.74","239.91K","-5.22%"
"04/18/2022","113.16","112.32","114.84","110.71","132.15K","1.31%"
"04/14/2022","111.70","108.29","112.39","106.63","210.18K","2.68%"
